,title,date,state,region,subregion
0,black and tan rabbits with cage,2016-12-20 05:46,Indiana,south bend / michiana,
1,A Long Ago Christmas Moon,2016-12-15 07:18,Indiana,south bend / michiana,
2,Electoral College Challenge,2016-12-06 01:46,Indiana,south bend / michiana,
3,The Crowbar Podcast : The Uneducated Educated,2016-11-19 18:56,Indiana,south bend / michiana,
4,IN     2020        HILLARY CLINTON WILL BE OUR NEXT LEADER,2016-12-28 17:45,Indiana,south bend / michiana,
5,"Justice for Wilbert Gay, Jr.",2016-12-28 16:13,Indiana,south bend / michiana,
6,NO TRUMP  IT WONT HAPPEN,2016-12-26 16:19,Indiana,south bend / michiana,
7,Trump Stands up to Bullies,2016-12-28 16:41,Indiana,south bend / michiana,
8,Trump Inauguration Protest Crash Place,2016-12-28 15:49,Indiana,south bend / michiana,
9,Things we can say now,2016-12-28 14:04,Indiana,south bend / michiana,
10,"Paid Online Panel ""Earn $1000 to $1400/week"" We Pay $ For Your Opinion",2016-12-28 13:55,Indiana,south bend / michiana,
11,-Earn $75 for filling Survey At your Home,2016-12-28 13:54,Indiana,south bend / michiana,
12,"Heaven or Hell  ,  there is no in between....",2016-12-28 11:52,Indiana,south bend / michiana,
13,94% Of All New Jobs Under Obama Were Part-Time,2016-12-28 11:49,Indiana,south bend / michiana,
14,Trump Surrenders Before the War,2016-12-28 11:12,Indiana,south bend / michiana,
15,Worldwide TV,2016-12-28 11:00,Indiana,south bend / michiana,
16,Go figure,2016-12-28 10:23,Indiana,south bend / michiana,
17,Good Riddance~ Exit The Hater and It's Mate,2016-12-28 10:19,Indiana,south bend / michiana,
18,why don't you looser welfare trash get a fuckin job trump did,2016-12-28 09:45,Indiana,south bend / michiana,
19,good by looser lesbian bitch,2016-12-28 09:44,Indiana,south bend / michiana,
20,finally some one with balls  fuck hiLIARy,2016-12-28 09:44,Indiana,south bend / michiana,
21,lesbian bitch got trumped fuck you ho's,2016-12-28 09:44,Indiana,south bend / michiana,
22,Trump Administration,2016-12-28 07:00,Indiana,south bend / michiana,
23,Does Superman have a pension?,2016-12-28 06:03,Indiana,south bend / michiana,
24,Re-Trump Takes a Page from the Obama Administration,2016-12-28 02:02,Indiana,south bend / michiana,
25,Trump Takes a Page from the Obama Administration,2016-12-28 01:02,Indiana,south bend / michiana,
26,Liberal women,2016-12-27 23:18,Indiana,south bend / michiana,
27,The HOTTEST Political Music EVER !!!,2016-12-27 22:44,Indiana,south bend / michiana,
28,st charles police r scum bags,2016-12-27 21:52,Indiana,south bend / michiana,
29,"New York starts the trend. Chicago, we're waiting?",2016-12-27 20:07,Indiana,south bend / michiana,
30,Rusty the Redneck,2016-12-27 19:34,Indiana,south bend / michiana,
31,Trumpinazi the Feminazi,2016-12-27 19:17,Indiana,south bend / michiana,
32,Why is WhoopiG & Miley & Deniro still here ??,2016-12-27 17:28,Indiana,south bend / michiana,
33,Will the Canadians have to build a wall?,2016-12-27 15:54,Indiana,south bend / michiana,
34,Trump win shatters Obama legacy,2016-12-27 15:54,Indiana,south bend / michiana,
35,"The fall of the house of Obama is coming, and it's his own fault",2016-12-27 15:53,Indiana,south bend / michiana,
36,Trump win shatters Obama legacy,2016-12-27 15:52,Indiana,south bend / michiana,
37,Will the Canadians have to build a wall?,2016-12-27 15:52,Indiana,south bend / michiana,
38,Freedom of the Press,2016-12-27 14:20,Indiana,south bend / michiana,
39,Honest Abe verses...,2016-12-27 13:09,Indiana,south bend / michiana,
40,lesbian bitch got trumped fuck you ho's,2016-12-27 11:23,Indiana,south bend / michiana,
41,why don't you looser welfare trash get a fuckin job trump did,2016-12-27 11:23,Indiana,south bend / michiana,
42,For the Ultra Liberals,2016-12-27 11:22,Indiana,south bend / michiana,
43,good by looser lesbian bitch,2016-12-27 11:21,Indiana,south bend / michiana,
44,finally some one with balls  fuck hiLIARy,2016-12-27 11:18,Indiana,south bend / michiana,
45,The Power of the County Sheriff,2016-12-27 10:47,Indiana,south bend / michiana,
46,Free Constitution Course,2016-12-27 10:47,Indiana,south bend / michiana,
47,Committee of Safety,2016-12-27 10:43,Indiana,south bend / michiana,
48,"Abe Lincoln- Goper, Mason",2016-12-27 10:34,Indiana,south bend / michiana,
49,Lost opportunity,2016-12-27 09:21,Indiana,south bend / michiana,
50,It's The Funny Trumpany,2016-12-27 08:21,Indiana,south bend / michiana,
51,The HOTTEST Music Made For Tweety TRUMP!!!!,2016-12-27 08:21,Indiana,south bend / michiana,
52,The Rest of the Story,2016-12-27 08:18,Indiana,south bend / michiana,
53,Trump Will Start..,2016-12-27 08:14,Indiana,south bend / michiana,
54,Tweet the Night Before Trumpmas and...,2016-12-27 08:06,Indiana,south bend / michiana,
55,PIZZAGATE!,2016-12-27 08:05,Indiana,south bend / michiana,
56,Get rid of public pensions,2016-12-27 06:18,Indiana,south bend / michiana,
57,Obama Pushes for Anti-Jewish UN Resolution,2016-12-27 01:57,Indiana,south bend / michiana,
58,Little Obama,2016-12-27 00:49,Indiana,south bend / michiana,
59,"""Wake Up America!""  Everybody is talking about #Pizzagate",2016-12-26 22:12,Indiana,south bend / michiana,
60,Play The Race Card When Your Skills Diminish,2016-12-26 21:42,Indiana,south bend / michiana,
61,"Obama spent $65,000 on flying in pizza / hot dogs from Chicago - WH?",2016-12-26 21:14,Indiana,south bend / michiana,
62,Trump's gopers Talk the Talk and,2016-12-26 19:45,Indiana,south bend / michiana,
63,How Good Is Job Growth? The Chart Obama Doesn't Want You To See,2016-12-26 15:01,Indiana,south bend / michiana,
64,Story of Dick and Jane,2016-12-26 13:23,Indiana,south bend / michiana,
65,Move over,2016-12-26 13:23,Indiana,south bend / michiana,
66,I can't believe it,2016-12-26 13:22,Indiana,south bend / michiana,
67,DEMOCRATS LETS UNITE,2016-12-26 13:22,Indiana,south bend / michiana,
68,George Michael,2016-12-26 11:55,Indiana,south bend / michiana,
69,Shamrock Network - The Alt-Right Social Media Site,2016-12-26 11:17,Indiana,south bend / michiana,
70,How many more??,2016-12-26 10:53,Indiana,south bend / michiana,
71,Domestic Propaganda | to dismantle the 9/11 myth,2016-12-26 06:19,Indiana,south bend / michiana,
72,"Heaven or Hell  ,  there is no in between....",2016-12-25 23:29,Indiana,south bend / michiana,
73,BLOOD MOON #Apocalypse trending,2016-12-25 23:17,Indiana,south bend / michiana,
74,ATTENTION TO ALL DEMOCRATS!,2016-12-25 19:25,Indiana,south bend / michiana,
75,A Unhappy Bootlicker Christmas Morning,2016-12-25 10:36,Indiana,south bend / michiana,
76,DC PizzaGate: MSM IS LYING TO YOU,2016-12-25 10:16,Indiana,south bend / michiana,
77,the closet has a door for a reason get in an shut the door,2016-12-25 09:21,Indiana,south bend / michiana,
78,The Meatrix relaunched,2016-12-24 22:48,Indiana,south bend / michiana,
79,T'was the Night Before Christmas and All Through the House,2016-12-24 17:45,Indiana,south bend / michiana,
80,Don't sweat it...,2016-12-24 16:32,Indiana,south bend / michiana,
81,3re:The Jew Who Beat Bootlicker (The Gift that keeps on Giving!),2016-12-24 16:25,Indiana,south bend / michiana,
82,One Jew Over The Cuckoo's Nest,2016-12-24 15:51,Indiana,south bend / michiana,
83,2re:The Jew Who Beat Bootlicker (The Gift that keeps on Giving!),2016-12-24 15:31,Indiana,south bend / michiana,
84,And Rahm Thought McCarthy Was To Blame?,2016-12-24 15:29,Indiana,south bend / michiana,
85,re:The Jew Who Beat Bootlicker,2016-12-24 14:37,Indiana,south bend / michiana,
86,The Jew Who Beats All...,2016-12-24 13:55,Indiana,south bend / michiana,
87,The Jew Who Beat Bootlicker,2016-12-24 13:30,Indiana,south bend / michiana,
88,Re: Chanaka,2016-12-24 13:03,Indiana,south bend / michiana,
89,"~The More Bootylicker Trolls, The Sweeter The Election Victory~",2016-12-24 12:09,Indiana,south bend / michiana,
90,Chanukah,2016-12-24 11:47,Indiana,south bend / michiana,
91,"Heaven or Hell  ,  there is no in between....",2016-12-24 11:35,Indiana,south bend / michiana,
92,You can believe it now......,2016-12-24 11:20,Indiana,south bend / michiana,
93,Merry Christmas Israel and Happy Hanukkah,2016-12-24 09:59,Indiana,south bend / michiana,
94,Merry Christmas Israel,2016-12-24 08:16,Indiana,south bend / michiana,
95,PIZZAGATE IS REAL,2016-12-23 21:23,Indiana,south bend / michiana,
96,"""The individual is handicapped....""",2016-12-23 19:42,Indiana,south bend / michiana,
97,The Terrifying Aftermath of Hillary's Election Victory,2016-12-23 19:31,Indiana,south bend / michiana,
98,Bootlicker has swamp foot,2016-12-23 19:30,Indiana,south bend / michiana,
99,The Difference between Man,2016-12-23 17:18,Indiana,south bend / michiana,
100,Rat terrier puppies,2016-12-14 16:44,Indiana,"kokomo, IN",
101,Obama Screws the Jew!,2016-12-27 11:44,Indiana,"kokomo, IN",
102,Tippecanoe Green Party,2016-11-23 20:05,Indiana,"kokomo, IN",
103,Openings for Winter Break $25/day,2016-12-19 10:52,Indiana,"kokomo, IN",
104,"Free Wilbert Gay, Jr.",2016-12-28 16:20,Indiana,"kokomo, IN",
105,"The Battle of Athens, Tennessee ABOUT VOTING",2016-12-26 20:45,Indiana,"kokomo, IN",
106,Case Closed: JFK Killed After Shutting Down Rothschild's Federal Reser,2016-12-26 20:41,Indiana,"kokomo, IN",
107,The Federal Deficit,2016-12-26 17:07,Indiana,"kokomo, IN",
108,The Charlie Hebdo Massacre *** Must See,2016-12-26 13:12,Indiana,"kokomo, IN",
109,50 YEAR OLD CARTOON PREDICTS THE FUTURE !!!,2016-12-26 11:19,Indiana,"kokomo, IN",
110,............... The OPPOSITION in a nutshell! ......................,2016-12-21 13:42,Indiana,"kokomo, IN",
111,"Suck it up, Buttercup",2016-12-19 19:16,Indiana,"kokomo, IN",
112,Democrats,2016-12-19 14:37,Indiana,"kokomo, IN",
113,But Bish... He Cray!,2016-12-19 10:23,Indiana,"kokomo, IN",
114,"Everyone should Watch ""Clinton Cash"" MOVIE See on YouTube",2016-12-18 12:01,Indiana,"kokomo, IN",
115,No misunderestimating Trump's unpresidented stupidity,2016-12-17 19:08,Indiana,"kokomo, IN",
116,"Everyone should Watch ""Clinton Cash"" MOVIE See on YouTube",2016-12-16 09:49,Indiana,"kokomo, IN",
117,UNSECURED FUNDING for IN  BUSINESS OWNERS in 7 DAYS,2016-12-11 16:56,Indiana,"kokomo, IN",
118,Mr President Trump,2016-12-08 19:33,Indiana,"kokomo, IN",
119,DJT is a Fragile Wu$$y,2016-12-06 05:00,Indiana,"kokomo, IN",
120,Americans keep looking away from the election's most alarming story,2016-12-06 04:31,Indiana,"kokomo, IN",
121,The Communist Takeover Of America - 45 Declared Goals,2016-12-04 13:12,Indiana,"kokomo, IN",
122,Trump To: Huntington 1200- Go fuck yourselves!,2016-12-02 10:28,Indiana,"kokomo, IN",
123,Trump To: Huntington 1200- Go fuck yourselves!,2016-12-01 23:48,Indiana,"kokomo, IN",
124,Pence pays Carrier $7m/year to employ 1200 Mexicans!,2016-12-01 23:16,Indiana,"kokomo, IN",
125,25th amendment spells end for Trump: good riddance to bad rubbish,2016-12-01 19:30,Indiana,"kokomo, IN",
126,Gov Pence Gives Carrier A Big Bag of Cash to Keep Half The Jobs,2016-12-01 13:10,Indiana,"kokomo, IN",
127,The American Suicide,2016-12-01 12:27,Indiana,"kokomo, IN",
128,Trump is Fu$king Clueless about Foreign Policy,2016-12-01 10:06,Indiana,"kokomo, IN",
129,Democratic history The facts,2016-12-01 08:04,Indiana,"kokomo, IN",
130,Trump-Pence paid off Carrier with IN taxpayer money,2016-11-30 21:39,Indiana,"kokomo, IN",
131,Trump bleeding out of his Gold Man-Sacks,2016-11-30 21:30,Indiana,"kokomo, IN",
132,Trump kept his promise,2016-11-30 21:10,Indiana,"kokomo, IN",
133,Trump bleeding out of his wherever,2016-11-29 21:10,Indiana,"kokomo, IN",
134,About Jill the Pill,2016-11-27 22:22,Indiana,"kokomo, IN",
135,ALL STAR LICENSED HAULING..CALL FOR A QUOTE,2016-11-27 18:55,Indiana,"kokomo, IN",
136,Electoral College Challenge,2016-11-27 03:25,Indiana,"kokomo, IN",
137,Something Fishy Going On in Rust-Belt Swing States,2016-11-26 12:17,Indiana,"kokomo, IN",
138,Reading the Future... By Looking to the Not Too Distant Past,2016-11-26 09:02,Indiana,"kokomo, IN",
139,RE Proof of massive Democrats voter fraud thousands voter fraud ..,2016-11-26 07:45,Indiana,"kokomo, IN",
140,Kellyann Goebbels: the Dive Bar Tour,2016-11-25 10:52,Indiana,"kokomo, IN",
141,Trump't Music Video,2016-11-24 01:06,Indiana,"kokomo, IN",
142,"The ""Mods""....?  LOL......",2016-11-22 21:07,Indiana,"kokomo, IN",
143,ELECTION DAY POLL WORKERS IN MARION COUNTY,2016-11-22 12:33,Indiana,"kokomo, IN",
144,Share your thoughts on the Elections - 2 minutes - $6,2016-11-21 17:45,Indiana,"kokomo, IN",
145,Mexican/Latino Immigrant Terroritorial Claims on the US Aztlan/La Raza,2016-11-21 11:48,Indiana,"kokomo, IN",
146,"ALL STAR INDY TRASH, JUNK & CLUTTER HAULING..CALL NOW",2016-11-21 08:13,Indiana,"kokomo, IN",
147,Donald Philby Trump,2016-11-20 17:09,Indiana,"kokomo, IN",
148,Trump't Music Video,2016-11-17 16:02,Indiana,"kokomo, IN",
149,10 gallon fish tank,2016-11-16 10:18,Indiana,"kokomo, IN",
150,leopard geckos,2016-11-16 00:38,Indiana,"kokomo, IN",
151,"Boycott ABC, CBS & NBC",2016-11-16 00:02,Indiana,"kokomo, IN",
152,"I SELL TRUMP SHIRTS, HATS, etc.. Get them while they last!",2016-11-15 11:50,Indiana,"kokomo, IN",
153,ISO AKC red miniature male poodle,2016-11-15 09:54,Indiana,"kokomo, IN",
154,"Justice for Wilbert Gay, Jr.",2016-12-28 16:13,Indiana,"kokomo, IN",
155,NO TRUMP  IT WONT HAPPEN,2016-12-26 16:19,Indiana,"kokomo, IN",
156,2020         HILLARY CLINTON WILL BE OUR NEXT LEADER,2016-12-09 18:19,Indiana,"kokomo, IN",
157,Trump refuels the Train,2016-12-05 19:35,Indiana,"kokomo, IN",
158,"Boycott ABC, CBS & NBC",2016-11-16 00:03,Indiana,"kokomo, IN",
159,black and tan rabbits with cage,2016-12-20 05:46,Indiana,"kokomo, IN",
160,A Long Ago Christmas Moon,2016-12-15 07:18,Indiana,"kokomo, IN",
161,Electoral College Challenge,2016-12-06 01:46,Indiana,"kokomo, IN",
162,The Crowbar Podcast : The Uneducated Educated,2016-11-19 18:56,Indiana,"kokomo, IN",
163,,,Indiana,"richmond, IN",
164,,,Indiana,"terre haute, IN",
165,Openings for Winter Break $25/day,2016-12-19 10:52,Indiana,muncie / anderson,
166,Rat terrier puppies,2016-12-14 16:44,Indiana,muncie / anderson,
167,"Free Wilbert Gay, Jr.",2016-12-28 16:20,Indiana,muncie / anderson,
168,"The Battle of Athens, Tennessee ABOUT VOTING",2016-12-26 20:45,Indiana,muncie / anderson,
169,Case Closed: JFK Killed After Shutting Down Rothschild's Federal Reser,2016-12-26 20:41,Indiana,muncie / anderson,
170,The Federal Deficit,2016-12-26 17:07,Indiana,muncie / anderson,
171,The Charlie Hebdo Massacre *** Must See,2016-12-26 13:12,Indiana,muncie / anderson,
172,50 YEAR OLD CARTOON PREDICTS THE FUTURE !!!,2016-12-26 11:19,Indiana,muncie / anderson,
173,............... The OPPOSITION in a nutshell! ......................,2016-12-21 13:42,Indiana,muncie / anderson,
174,"Suck it up, Buttercup",2016-12-19 19:16,Indiana,muncie / anderson,
175,Democrats,2016-12-19 14:37,Indiana,muncie / anderson,
176,But Bish... He Cray!,2016-12-19 10:23,Indiana,muncie / anderson,
177,"Everyone should Watch ""Clinton Cash"" MOVIE See on YouTube",2016-12-18 12:01,Indiana,muncie / anderson,
178,No misunderestimating Trump's unpresidented stupidity,2016-12-17 19:08,Indiana,muncie / anderson,
179,"Everyone should Watch ""Clinton Cash"" MOVIE See on YouTube",2016-12-16 09:49,Indiana,muncie / anderson,
180,UNSECURED FUNDING for IN  BUSINESS OWNERS in 7 DAYS,2016-12-11 16:56,Indiana,muncie / anderson,
181,Mr President Trump,2016-12-08 19:33,Indiana,muncie / anderson,
182,DJT is a Fragile Wu$$y,2016-12-06 05:00,Indiana,muncie / anderson,
183,Americans keep looking away from the election's most alarming story,2016-12-06 04:31,Indiana,muncie / anderson,
184,The Communist Takeover Of America - 45 Declared Goals,2016-12-04 13:12,Indiana,muncie / anderson,
185,Trump To: Huntington 1200- Go fuck yourselves!,2016-12-02 10:28,Indiana,muncie / anderson,
186,Trump To: Huntington 1200- Go fuck yourselves!,2016-12-01 23:48,Indiana,muncie / anderson,
187,Pence pays Carrier $7m/year to employ 1200 Mexicans!,2016-12-01 23:16,Indiana,muncie / anderson,
188,25th amendment spells end for Trump: good riddance to bad rubbish,2016-12-01 19:30,Indiana,muncie / anderson,
189,Gov Pence Gives Carrier A Big Bag of Cash to Keep Half The Jobs,2016-12-01 13:10,Indiana,muncie / anderson,
190,The American Suicide,2016-12-01 12:27,Indiana,muncie / anderson,
191,Trump is Fu$king Clueless about Foreign Policy,2016-12-01 10:06,Indiana,muncie / anderson,
192,Democratic history The facts,2016-12-01 08:04,Indiana,muncie / anderson,
193,Trump-Pence paid off Carrier with IN taxpayer money,2016-11-30 21:39,Indiana,muncie / anderson,
194,Trump bleeding out of his Gold Man-Sacks,2016-11-30 21:30,Indiana,muncie / anderson,
195,Trump kept his promise,2016-11-30 21:10,Indiana,muncie / anderson,
196,Trump bleeding out of his wherever,2016-11-29 21:10,Indiana,muncie / anderson,
197,About Jill the Pill,2016-11-27 22:22,Indiana,muncie / anderson,
198,ALL STAR LICENSED HAULING..CALL FOR A QUOTE,2016-11-27 18:55,Indiana,muncie / anderson,
199,Electoral College Challenge,2016-11-27 03:25,Indiana,muncie / anderson,
200,Something Fishy Going On in Rust-Belt Swing States,2016-11-26 12:17,Indiana,muncie / anderson,
201,Reading the Future... By Looking to the Not Too Distant Past,2016-11-26 09:02,Indiana,muncie / anderson,
202,RE Proof of massive Democrats voter fraud thousands voter fraud ..,2016-11-26 07:45,Indiana,muncie / anderson,
203,Kellyann Goebbels: the Dive Bar Tour,2016-11-25 10:52,Indiana,muncie / anderson,
204,Trump't Music Video,2016-11-24 01:06,Indiana,muncie / anderson,
205,"The ""Mods""....?  LOL......",2016-11-22 21:07,Indiana,muncie / anderson,
206,ELECTION DAY POLL WORKERS IN MARION COUNTY,2016-11-22 12:33,Indiana,muncie / anderson,
207,Share your thoughts on the Elections - 2 minutes - $6,2016-11-21 17:45,Indiana,muncie / anderson,
208,Mexican/Latino Immigrant Terroritorial Claims on the US Aztlan/La Raza,2016-11-21 11:48,Indiana,muncie / anderson,
209,"ALL STAR INDY TRASH, JUNK & CLUTTER HAULING..CALL NOW",2016-11-21 08:13,Indiana,muncie / anderson,
210,Donald Philby Trump,2016-11-20 17:09,Indiana,muncie / anderson,
211,Trump't Music Video,2016-11-17 16:02,Indiana,muncie / anderson,
212,10 gallon fish tank,2016-11-16 10:18,Indiana,muncie / anderson,
213,leopard geckos,2016-11-16 00:38,Indiana,muncie / anderson,
214,"Boycott ABC, CBS & NBC",2016-11-16 00:02,Indiana,muncie / anderson,
215,"I SELL TRUMP SHIRTS, HATS, etc.. Get them while they last!",2016-11-15 11:50,Indiana,muncie / anderson,
216,ISO AKC red miniature male poodle,2016-11-15 09:54,Indiana,muncie / anderson,
217,TRUMP  IS THE REAL DEAL,2016-12-28 17:45,Indiana,muncie / anderson,
218,IN     2020        HILLARY CLINTON WILL BE OUR NEXT LEADER,2016-12-28 17:45,Indiana,muncie / anderson,
219,"Justice for Wilbert Gay, Jr.",2016-12-28 16:13,Indiana,muncie / anderson,
220,NO TRUMP  IT WONT HAPPEN,2016-12-26 16:19,Indiana,muncie / anderson,
221,2020         HILLARY CLINTON WILL BE OUR NEXT LEADER,2016-12-09 18:19,Indiana,muncie / anderson,
222,Trump refuels the Train,2016-12-05 19:35,Indiana,muncie / anderson,
223,"Boycott ABC, CBS & NBC",2016-11-16 00:03,Indiana,muncie / anderson,
224,The Truth about Muslims.. keep them out!!  vids,2016-12-28 16:28,Indiana,muncie / anderson,
225,the truth about black crime the media hides,2016-12-28 16:27,Indiana,muncie / anderson,
226,Trump was right ... Obama's birth certificate is a fake.. 9 points etc,2016-12-28 16:27,Indiana,muncie / anderson,
227,Sham? The Only SCAM is Dems,2016-12-28 12:07,Indiana,muncie / anderson,
228,Place to stay in DC in January!!,2016-12-23 20:21,Indiana,muncie / anderson,
229,Lightworkers united against Greed,2016-12-22 17:07,Indiana,muncie / anderson,
230,Demand The Electorial College Reverse This Sham of An Election ....,2016-12-18 11:36,Indiana,muncie / anderson,
231,"IQ in ""Western Nations"" Dropping as Percentage of Whites Shrink",2016-12-16 17:02,Indiana,muncie / anderson,
232,91% of Muslims in usa on food stamps... 68% cash ass,2016-12-10 15:52,Indiana,muncie / anderson,
233,Boycott Arab owned Gas Stations.. unfair,2016-12-10 15:50,Indiana,muncie / anderson,
234,$20 Fuzzy Holland lop bunny,2016-12-08 09:52,Indiana,muncie / anderson,
235,Too Late to Change Vote!,2016-12-07 22:59,Indiana,muncie / anderson,
236,Morkie puppies,2016-12-05 11:32,Indiana,muncie / anderson,
237,RE trump gold socks...,2016-11-30 21:50,Indiana,muncie / anderson,
238,Trump bleeding out of his Gold Man-Sacks,2016-11-30 21:23,Indiana,muncie / anderson,
239,RE Electoral College,2016-11-27 17:39,Indiana,muncie / anderson,
240,RE: to all trump supporters,2016-11-15 11:23,Indiana,muncie / anderson,
241,To peoples,2016-11-13 16:00,Indiana,muncie / anderson,
242,Pit bull puppies,2016-12-28 15:54,Indiana,muncie / anderson,
243,MAY BE ONE REASON SOME WOMAN ARE ANGRY AND FEEL ROBBED,2016-12-25 23:37,Indiana,muncie / anderson,
244,Demand The Electorial College Reverse This Sham of An Election ....,2016-11-30 12:03,Indiana,muncie / anderson,
245,Any Bloomington area Anti-fa groups around?,2016-12-05 12:04,Indiana,"bloomington, IN",
