,title,date,state,region,subregion
246,"Free Wilbert Gay, Jr.",2016-12-28 16:20,Indiana,"bloomington, IN",
247,"The Battle of Athens, Tennessee ABOUT VOTING",2016-12-26 20:45,Indiana,"bloomington, IN",
248,Case Closed: JFK Killed After Shutting Down Rothschild's Federal Reser,2016-12-26 20:41,Indiana,"bloomington, IN",
249,The Federal Deficit,2016-12-26 17:07,Indiana,"bloomington, IN",
250,The Charlie Hebdo Massacre *** Must See,2016-12-26 13:12,Indiana,"bloomington, IN",
251,50 YEAR OLD CARTOON PREDICTS THE FUTURE !!!,2016-12-26 11:19,Indiana,"bloomington, IN",
252,............... The OPPOSITION in a nutshell! ......................,2016-12-21 13:42,Indiana,"bloomington, IN",
253,"Suck it up, Buttercup",2016-12-19 19:16,Indiana,"bloomington, IN",
254,Democrats,2016-12-19 14:37,Indiana,"bloomington, IN",
255,But Bish... He Cray!,2016-12-19 10:23,Indiana,"bloomington, IN",
256,"Everyone should Watch ""Clinton Cash"" MOVIE See on YouTube",2016-12-18 12:01,Indiana,"bloomington, IN",
257,No misunderestimating Trump's unpresidented stupidity,2016-12-17 19:08,Indiana,"bloomington, IN",
258,"Everyone should Watch ""Clinton Cash"" MOVIE See on YouTube",2016-12-16 09:49,Indiana,"bloomington, IN",
259,UNSECURED FUNDING for IN  BUSINESS OWNERS in 7 DAYS,2016-12-11 16:56,Indiana,"bloomington, IN",
260,Mr President Trump,2016-12-08 19:33,Indiana,"bloomington, IN",
261,DJT is a Fragile Wu$$y,2016-12-06 05:00,Indiana,"bloomington, IN",
262,Americans keep looking away from the election's most alarming story,2016-12-06 04:31,Indiana,"bloomington, IN",
263,The Communist Takeover Of America - 45 Declared Goals,2016-12-04 13:12,Indiana,"bloomington, IN",
264,Trump To: Huntington 1200- Go fuck yourselves!,2016-12-02 10:28,Indiana,"bloomington, IN",
265,Trump To: Huntington 1200- Go fuck yourselves!,2016-12-01 23:48,Indiana,"bloomington, IN",
266,Pence pays Carrier $7m/year to employ 1200 Mexicans!,2016-12-01 23:16,Indiana,"bloomington, IN",
267,25th amendment spells end for Trump: good riddance to bad rubbish,2016-12-01 19:30,Indiana,"bloomington, IN",
268,Gov Pence Gives Carrier A Big Bag of Cash to Keep Half The Jobs,2016-12-01 13:10,Indiana,"bloomington, IN",
269,The American Suicide,2016-12-01 12:27,Indiana,"bloomington, IN",
270,Trump is Fu$king Clueless about Foreign Policy,2016-12-01 10:06,Indiana,"bloomington, IN",
271,Democratic history The facts,2016-12-01 08:04,Indiana,"bloomington, IN",
272,Trump-Pence paid off Carrier with IN taxpayer money,2016-11-30 21:39,Indiana,"bloomington, IN",
273,Trump bleeding out of his Gold Man-Sacks,2016-11-30 21:30,Indiana,"bloomington, IN",
274,Trump kept his promise,2016-11-30 21:10,Indiana,"bloomington, IN",
275,Trump bleeding out of his wherever,2016-11-29 21:10,Indiana,"bloomington, IN",
276,About Jill the Pill,2016-11-27 22:22,Indiana,"bloomington, IN",
277,ALL STAR LICENSED HAULING..CALL FOR A QUOTE,2016-11-27 18:55,Indiana,"bloomington, IN",
278,Electoral College Challenge,2016-11-27 03:25,Indiana,"bloomington, IN",
279,Something Fishy Going On in Rust-Belt Swing States,2016-11-26 12:17,Indiana,"bloomington, IN",
280,Reading the Future... By Looking to the Not Too Distant Past,2016-11-26 09:02,Indiana,"bloomington, IN",
281,RE Proof of massive Democrats voter fraud thousands voter fraud ..,2016-11-26 07:45,Indiana,"bloomington, IN",
282,Kellyann Goebbels: the Dive Bar Tour,2016-11-25 10:52,Indiana,"bloomington, IN",
283,Trump't Music Video,2016-11-24 01:06,Indiana,"bloomington, IN",
284,"The ""Mods""....?  LOL......",2016-11-22 21:07,Indiana,"bloomington, IN",
285,ELECTION DAY POLL WORKERS IN MARION COUNTY,2016-11-22 12:33,Indiana,"bloomington, IN",
286,Share your thoughts on the Elections - 2 minutes - $6,2016-11-21 17:45,Indiana,"bloomington, IN",
287,Mexican/Latino Immigrant Terroritorial Claims on the US Aztlan/La Raza,2016-11-21 11:48,Indiana,"bloomington, IN",
288,"ALL STAR INDY TRASH, JUNK & CLUTTER HAULING..CALL NOW",2016-11-21 08:13,Indiana,"bloomington, IN",
289,Donald Philby Trump,2016-11-20 17:09,Indiana,"bloomington, IN",
290,Trump't Music Video,2016-11-17 16:02,Indiana,"bloomington, IN",
291,10 gallon fish tank,2016-11-16 10:18,Indiana,"bloomington, IN",
292,leopard geckos,2016-11-16 00:38,Indiana,"bloomington, IN",
293,"Boycott ABC, CBS & NBC",2016-11-16 00:02,Indiana,"bloomington, IN",
294,"I SELL TRUMP SHIRTS, HATS, etc.. Get them while they last!",2016-11-15 11:50,Indiana,"bloomington, IN",
295,ISO AKC red miniature male poodle,2016-11-15 09:54,Indiana,"bloomington, IN",
296,Rant at Walmart,2016-12-23 09:59,Indiana,"bloomington, IN",
297,Donald Trump Vietnam War Draft Dodger,2016-12-20 16:21,Indiana,"bloomington, IN",
298,Senator Mitch McConnell,2016-12-20 16:07,Indiana,"bloomington, IN",
299,Liar-In-Chief,2016-12-15 17:41,Indiana,"bloomington, IN",
300,Donald Trump is Vladimir Putin's Bitch,2016-12-15 12:52,Indiana,"bloomington, IN",
301,You Folks Voted For a TRAITOR To Our Nation,2016-12-13 19:39,Indiana,"bloomington, IN",
302,"re  So, tell me . . .",2016-12-13 19:15,Indiana,"bloomington, IN",
303,Holiday Blessings,2016-12-13 15:54,Indiana,"bloomington, IN",
304,Question about DONALD TRUMP AMERICAS PRESIDENT,2016-12-11 16:10,Indiana,"bloomington, IN",
305,DONALD TRUMP AMERICAS PRESIDENT,2016-12-06 13:52,Indiana,"bloomington, IN",
306,Duke Enegry Criminal Overcharging and with proof &nuthing happens,2016-12-06 01:26,Indiana,"bloomington, IN",
307,"So, tell me . . .",2016-12-04 14:39,Indiana,"bloomington, IN",
308,Re: Kellyann Goebbels has blood coming out of wherever,2016-12-02 21:44,Indiana,"bloomington, IN",
309,Get Your Trump T-Shirt Today Only $6.95,2016-12-02 14:00,Indiana,"bloomington, IN",
310,Trump found a tune,2016-11-28 22:21,Indiana,"bloomington, IN",
311,Sisneros quits: Christians can't vote for Trump,2016-11-28 19:14,Indiana,"bloomington, IN",
312,Kellyann Goebbels has blood coming out of wherever,2016-11-27 16:22,Indiana,"bloomington, IN",
313,Going to ND pipeline protest,2016-11-26 04:16,Indiana,"bloomington, IN",
314,Donald Philby Trump,2016-11-20 17:09,Indiana,"bloomington, IN",
315,Trump't Music Video,2016-11-17 17:00,Indiana,"bloomington, IN",
316,"Boycott ABC, CBS & NBC",2016-11-16 12:27,Indiana,"bloomington, IN",
317,Recall Mitch McConnell,2016-11-13 10:29,Indiana,"bloomington, IN",
318,Obama Screws the Jew!,2016-12-27 11:44,Indiana,"bloomington, IN",
319,Tippecanoe Green Party,2016-11-23 20:05,Indiana,"bloomington, IN",
320,Openings for Winter Break $25/day,2016-12-19 10:52,Indiana,"bloomington, IN",
321,Rat terrier puppies,2016-12-14 16:44,Indiana,"bloomington, IN",
322,TRUMP  IS THE REAL DEAL,2016-12-28 17:45,Indiana,"fort wayne, IN",
323,IN     2020        HILLARY CLINTON WILL BE OUR NEXT LEADER,2016-12-28 17:45,Indiana,"fort wayne, IN",
324,"Justice for Wilbert Gay, Jr.",2016-12-28 16:13,Indiana,"fort wayne, IN",
325,NO TRUMP  IT WONT HAPPEN,2016-12-26 16:19,Indiana,"fort wayne, IN",
326,2020         HILLARY CLINTON WILL BE OUR NEXT LEADER,2016-12-09 18:19,Indiana,"fort wayne, IN",
327,Trump refuels the Train,2016-12-05 19:35,Indiana,"fort wayne, IN",
328,"Boycott ABC, CBS & NBC",2016-11-16 00:03,Indiana,"fort wayne, IN",
329,Pit bull puppies,2016-12-28 15:54,Indiana,"fort wayne, IN",
330,MAY BE ONE REASON SOME WOMAN ARE ANGRY AND FEEL ROBBED,2016-12-25 23:37,Indiana,"fort wayne, IN",
331,Demand The Electorial College Reverse This Sham of An Election ....,2016-11-30 12:03,Indiana,"fort wayne, IN",
332,Openings for Winter Break $25/day,2016-12-19 10:52,Indiana,"fort wayne, IN",
333,Rat terrier puppies,2016-12-14 16:44,Indiana,"fort wayne, IN",
334,black and tan rabbits with cage,2016-12-20 05:46,Indiana,"fort wayne, IN",
335,A Long Ago Christmas Moon,2016-12-15 07:18,Indiana,"fort wayne, IN",
336,Electoral College Challenge,2016-12-06 01:46,Indiana,"fort wayne, IN",
337,The Crowbar Podcast : The Uneducated Educated,2016-11-19 18:56,Indiana,"fort wayne, IN",
338,Cannabis Petitition,2016-12-20 14:12,Indiana,"fort wayne, IN",
339,Sign the Petition -- Convention of States,2016-11-25 05:43,Indiana,"fort wayne, IN",
340,Hindus United Against Terror support TRUMP 2016!,2016-11-13 08:05,Indiana,"fort wayne, IN",
341,"Enough with the racist shit, i voted for the jerk obama 2008",2016-11-13 07:59,Indiana,"fort wayne, IN",
342,DNC Donna Brazile go's down in flames!,2016-11-13 07:52,Indiana,"fort wayne, IN",
343,"Boycott CNN and MSNBC cooper, mathews, lemon, maddow, etc etc etc!",2016-11-13 07:33,Indiana,"fort wayne, IN",
344,Sign the Petition -- Convention of States (Michigan,2016-12-20 11:24,Indiana,"fort wayne, IN",
345,Sign the Petition -- Convention of States,2016-11-25 05:10,Indiana,"fort wayne, IN",
346,"Free Wilbert Gay, Jr.",2016-12-28 16:20,Indiana,indianapolis,
347,"The Battle of Athens, Tennessee ABOUT VOTING",2016-12-26 20:45,Indiana,indianapolis,
348,Case Closed: JFK Killed After Shutting Down Rothschild's Federal Reser,2016-12-26 20:41,Indiana,indianapolis,
349,The Federal Deficit,2016-12-26 17:07,Indiana,indianapolis,
350,The Charlie Hebdo Massacre *** Must See,2016-12-26 13:12,Indiana,indianapolis,
351,50 YEAR OLD CARTOON PREDICTS THE FUTURE !!!,2016-12-26 11:19,Indiana,indianapolis,
352,............... The OPPOSITION in a nutshell! ......................,2016-12-21 13:42,Indiana,indianapolis,
353,"Suck it up, Buttercup",2016-12-19 19:16,Indiana,indianapolis,
354,Democrats,2016-12-19 14:37,Indiana,indianapolis,
355,But Bish... He Cray!,2016-12-19 10:23,Indiana,indianapolis,
356,"Everyone should Watch ""Clinton Cash"" MOVIE See on YouTube",2016-12-18 12:01,Indiana,indianapolis,
357,No misunderestimating Trump's unpresidented stupidity,2016-12-17 19:08,Indiana,indianapolis,
358,"Everyone should Watch ""Clinton Cash"" MOVIE See on YouTube",2016-12-16 09:49,Indiana,indianapolis,
359,UNSECURED FUNDING for IN  BUSINESS OWNERS in 7 DAYS,2016-12-11 16:56,Indiana,indianapolis,
360,Mr President Trump,2016-12-08 19:33,Indiana,indianapolis,
361,DJT is a Fragile Wu$$y,2016-12-06 05:00,Indiana,indianapolis,
362,Americans keep looking away from the election's most alarming story,2016-12-06 04:31,Indiana,indianapolis,
363,The Communist Takeover Of America - 45 Declared Goals,2016-12-04 13:12,Indiana,indianapolis,
364,Trump To: Huntington 1200- Go fuck yourselves!,2016-12-02 10:28,Indiana,indianapolis,
365,Trump To: Huntington 1200- Go fuck yourselves!,2016-12-01 23:48,Indiana,indianapolis,
366,Pence pays Carrier $7m/year to employ 1200 Mexicans!,2016-12-01 23:16,Indiana,indianapolis,
367,25th amendment spells end for Trump: good riddance to bad rubbish,2016-12-01 19:30,Indiana,indianapolis,
368,Gov Pence Gives Carrier A Big Bag of Cash to Keep Half The Jobs,2016-12-01 13:10,Indiana,indianapolis,
369,The American Suicide,2016-12-01 12:27,Indiana,indianapolis,
370,Trump is Fu$king Clueless about Foreign Policy,2016-12-01 10:06,Indiana,indianapolis,
371,Democratic history The facts,2016-12-01 08:04,Indiana,indianapolis,
372,Trump-Pence paid off Carrier with IN taxpayer money,2016-11-30 21:39,Indiana,indianapolis,
373,Trump bleeding out of his Gold Man-Sacks,2016-11-30 21:30,Indiana,indianapolis,
374,Trump kept his promise,2016-11-30 21:10,Indiana,indianapolis,
375,Trump bleeding out of his wherever,2016-11-29 21:10,Indiana,indianapolis,
376,About Jill the Pill,2016-11-27 22:22,Indiana,indianapolis,
377,ALL STAR LICENSED HAULING..CALL FOR A QUOTE,2016-11-27 18:55,Indiana,indianapolis,
378,Electoral College Challenge,2016-11-27 03:25,Indiana,indianapolis,
379,Something Fishy Going On in Rust-Belt Swing States,2016-11-26 12:17,Indiana,indianapolis,
380,Reading the Future... By Looking to the Not Too Distant Past,2016-11-26 09:02,Indiana,indianapolis,
381,RE Proof of massive Democrats voter fraud thousands voter fraud ..,2016-11-26 07:45,Indiana,indianapolis,
382,Kellyann Goebbels: the Dive Bar Tour,2016-11-25 10:52,Indiana,indianapolis,
383,Trump't Music Video,2016-11-24 01:06,Indiana,indianapolis,
384,"The ""Mods""....?  LOL......",2016-11-22 21:07,Indiana,indianapolis,
385,ELECTION DAY POLL WORKERS IN MARION COUNTY,2016-11-22 12:33,Indiana,indianapolis,
386,Share your thoughts on the Elections - 2 minutes - $6,2016-11-21 17:45,Indiana,indianapolis,
387,Mexican/Latino Immigrant Terroritorial Claims on the US Aztlan/La Raza,2016-11-21 11:48,Indiana,indianapolis,
388,"ALL STAR INDY TRASH, JUNK & CLUTTER HAULING..CALL NOW",2016-11-21 08:13,Indiana,indianapolis,
389,Donald Philby Trump,2016-11-20 17:09,Indiana,indianapolis,
390,Trump't Music Video,2016-11-17 16:02,Indiana,indianapolis,
391,10 gallon fish tank,2016-11-16 10:18,Indiana,indianapolis,
392,leopard geckos,2016-11-16 00:38,Indiana,indianapolis,
393,"Boycott ABC, CBS & NBC",2016-11-16 00:02,Indiana,indianapolis,
394,"I SELL TRUMP SHIRTS, HATS, etc.. Get them while they last!",2016-11-15 11:50,Indiana,indianapolis,
395,ISO AKC red miniature male poodle,2016-11-15 09:54,Indiana,indianapolis,
396,Any Bloomington area Anti-fa groups around?,2016-12-05 12:04,Indiana,indianapolis,
397,Rat terrier puppies,2016-12-14 16:44,Indiana,indianapolis,
398,Openings for Winter Break $25/day,2016-12-19 10:52,Indiana,indianapolis,
399,Obama Screws the Jew!,2016-12-27 11:44,Indiana,indianapolis,
400,Tippecanoe Green Party,2016-11-23 20:05,Indiana,indianapolis,
401,Trump bleeding out of his Gold Man-Sacks,2016-11-30 20:33,Indiana,"evansville, IN",
402,Trump appoints a plumber!,2016-11-16 21:42,Indiana,"evansville, IN",
403,Hey Western KY Tiff Reina wants American Soldiers Dead,2016-11-19 02:40,Indiana,"evansville, IN",
404,"Boycott ABC, CBS & NBC",2016-11-16 11:28,Indiana,"evansville, IN",
405,we have one white female Persian kitten available,2016-12-20 23:31,Indiana,"evansville, IN",
406,X out Christmas,2016-12-13 00:18,Indiana,"evansville, IN",
407,Trump't music video,2016-11-26 01:48,Indiana,"evansville, IN",
408,"Boycott ABC, CBS & NBC",2016-11-15 23:17,Indiana,"evansville, IN",
409,Any Bloomington area Anti-fa groups around?,2016-12-05 12:04,Indiana,"evansville, IN",
410,Rant at Walmart,2016-12-23 09:59,Indiana,"evansville, IN",
411,Donald Trump Vietnam War Draft Dodger,2016-12-20 16:21,Indiana,"evansville, IN",
412,Senator Mitch McConnell,2016-12-20 16:07,Indiana,"evansville, IN",
413,Liar-In-Chief,2016-12-15 17:41,Indiana,"evansville, IN",
414,Donald Trump is Vladimir Putin's Bitch,2016-12-15 12:52,Indiana,"evansville, IN",
415,You Folks Voted For a TRAITOR To Our Nation,2016-12-13 19:39,Indiana,"evansville, IN",
416,"re  So, tell me . . .",2016-12-13 19:15,Indiana,"evansville, IN",
417,Holiday Blessings,2016-12-13 15:54,Indiana,"evansville, IN",
418,Question about DONALD TRUMP AMERICAS PRESIDENT,2016-12-11 16:10,Indiana,"evansville, IN",
419,DONALD TRUMP AMERICAS PRESIDENT,2016-12-06 13:52,Indiana,"evansville, IN",
420,Duke Enegry Criminal Overcharging and with proof &nuthing happens,2016-12-06 01:26,Indiana,"evansville, IN",
421,"So, tell me . . .",2016-12-04 14:39,Indiana,"evansville, IN",
422,Re: Kellyann Goebbels has blood coming out of wherever,2016-12-02 21:44,Indiana,"evansville, IN",
423,Get Your Trump T-Shirt Today Only $6.95,2016-12-02 14:00,Indiana,"evansville, IN",
424,Trump found a tune,2016-11-28 22:21,Indiana,"evansville, IN",
425,Sisneros quits: Christians can't vote for Trump,2016-11-28 19:14,Indiana,"evansville, IN",
426,Kellyann Goebbels has blood coming out of wherever,2016-11-27 16:22,Indiana,"evansville, IN",
427,Going to ND pipeline protest,2016-11-26 04:16,Indiana,"evansville, IN",
428,Donald Philby Trump,2016-11-20 17:09,Indiana,"evansville, IN",
429,Trump't Music Video,2016-11-17 17:00,Indiana,"evansville, IN",
430,"Boycott ABC, CBS & NBC",2016-11-16 12:27,Indiana,"evansville, IN",
431,Recall Mitch McConnell,2016-11-13 10:29,Indiana,"evansville, IN",
432,Obama Screws the Jew!,2016-12-27 11:44,Indiana,lafayette / west lafayette,
433,Tippecanoe Green Party,2016-11-23 20:05,Indiana,lafayette / west lafayette,
434,Rat terrier puppies,2016-12-14 16:44,Indiana,lafayette / west lafayette,
435,"Free Wilbert Gay, Jr.",2016-12-28 16:20,Indiana,lafayette / west lafayette,
436,"The Battle of Athens, Tennessee ABOUT VOTING",2016-12-26 20:45,Indiana,lafayette / west lafayette,
437,Case Closed: JFK Killed After Shutting Down Rothschild's Federal Reser,2016-12-26 20:41,Indiana,lafayette / west lafayette,
438,The Federal Deficit,2016-12-26 17:07,Indiana,lafayette / west lafayette,
439,The Charlie Hebdo Massacre *** Must See,2016-12-26 13:12,Indiana,lafayette / west lafayette,
440,50 YEAR OLD CARTOON PREDICTS THE FUTURE !!!,2016-12-26 11:19,Indiana,lafayette / west lafayette,
441,............... The OPPOSITION in a nutshell! ......................,2016-12-21 13:42,Indiana,lafayette / west lafayette,
442,"Suck it up, Buttercup",2016-12-19 19:16,Indiana,lafayette / west lafayette,
443,Democrats,2016-12-19 14:37,Indiana,lafayette / west lafayette,
444,But Bish... He Cray!,2016-12-19 10:23,Indiana,lafayette / west lafayette,
445,"Everyone should Watch ""Clinton Cash"" MOVIE See on YouTube",2016-12-18 12:01,Indiana,lafayette / west lafayette,
446,No misunderestimating Trump's unpresidented stupidity,2016-12-17 19:08,Indiana,lafayette / west lafayette,
447,"Everyone should Watch ""Clinton Cash"" MOVIE See on YouTube",2016-12-16 09:49,Indiana,lafayette / west lafayette,
448,UNSECURED FUNDING for IN  BUSINESS OWNERS in 7 DAYS,2016-12-11 16:56,Indiana,lafayette / west lafayette,
449,Mr President Trump,2016-12-08 19:33,Indiana,lafayette / west lafayette,
450,DJT is a Fragile Wu$$y,2016-12-06 05:00,Indiana,lafayette / west lafayette,
451,Americans keep looking away from the election's most alarming story,2016-12-06 04:31,Indiana,lafayette / west lafayette,
452,The Communist Takeover Of America - 45 Declared Goals,2016-12-04 13:12,Indiana,lafayette / west lafayette,
453,Trump To: Huntington 1200- Go fuck yourselves!,2016-12-02 10:28,Indiana,lafayette / west lafayette,
454,Trump To: Huntington 1200- Go fuck yourselves!,2016-12-01 23:48,Indiana,lafayette / west lafayette,
455,Pence pays Carrier $7m/year to employ 1200 Mexicans!,2016-12-01 23:16,Indiana,lafayette / west lafayette,
456,25th amendment spells end for Trump: good riddance to bad rubbish,2016-12-01 19:30,Indiana,lafayette / west lafayette,
457,Gov Pence Gives Carrier A Big Bag of Cash to Keep Half The Jobs,2016-12-01 13:10,Indiana,lafayette / west lafayette,
458,The American Suicide,2016-12-01 12:27,Indiana,lafayette / west lafayette,
459,Trump is Fu$king Clueless about Foreign Policy,2016-12-01 10:06,Indiana,lafayette / west lafayette,
460,Democratic history The facts,2016-12-01 08:04,Indiana,lafayette / west lafayette,
461,Trump-Pence paid off Carrier with IN taxpayer money,2016-11-30 21:39,Indiana,lafayette / west lafayette,
462,Trump bleeding out of his Gold Man-Sacks,2016-11-30 21:30,Indiana,lafayette / west lafayette,
463,Trump kept his promise,2016-11-30 21:10,Indiana,lafayette / west lafayette,
464,Trump bleeding out of his wherever,2016-11-29 21:10,Indiana,lafayette / west lafayette,
465,About Jill the Pill,2016-11-27 22:22,Indiana,lafayette / west lafayette,
466,ALL STAR LICENSED HAULING..CALL FOR A QUOTE,2016-11-27 18:55,Indiana,lafayette / west lafayette,
467,Electoral College Challenge,2016-11-27 03:25,Indiana,lafayette / west lafayette,
468,Something Fishy Going On in Rust-Belt Swing States,2016-11-26 12:17,Indiana,lafayette / west lafayette,
469,Reading the Future... By Looking to the Not Too Distant Past,2016-11-26 09:02,Indiana,lafayette / west lafayette,
470,RE Proof of massive Democrats voter fraud thousands voter fraud ..,2016-11-26 07:45,Indiana,lafayette / west lafayette,
471,Kellyann Goebbels: the Dive Bar Tour,2016-11-25 10:52,Indiana,lafayette / west lafayette,
472,Trump't Music Video,2016-11-24 01:06,Indiana,lafayette / west lafayette,
473,"The ""Mods""....?  LOL......",2016-11-22 21:07,Indiana,lafayette / west lafayette,
474,ELECTION DAY POLL WORKERS IN MARION COUNTY,2016-11-22 12:33,Indiana,lafayette / west lafayette,
475,Share your thoughts on the Elections - 2 minutes - $6,2016-11-21 17:45,Indiana,lafayette / west lafayette,
476,Mexican/Latino Immigrant Terroritorial Claims on the US Aztlan/La Raza,2016-11-21 11:48,Indiana,lafayette / west lafayette,
477,"ALL STAR INDY TRASH, JUNK & CLUTTER HAULING..CALL NOW",2016-11-21 08:13,Indiana,lafayette / west lafayette,
478,Donald Philby Trump,2016-11-20 17:09,Indiana,lafayette / west lafayette,
479,Trump't Music Video,2016-11-17 16:02,Indiana,lafayette / west lafayette,
480,10 gallon fish tank,2016-11-16 10:18,Indiana,lafayette / west lafayette,
481,leopard geckos,2016-11-16 00:38,Indiana,lafayette / west lafayette,
482,"Boycott ABC, CBS & NBC",2016-11-16 00:02,Indiana,lafayette / west lafayette,
483,"I SELL TRUMP SHIRTS, HATS, etc.. Get them while they last!",2016-11-15 11:50,Indiana,lafayette / west lafayette,
484,ISO AKC red miniature male poodle,2016-11-15 09:54,Indiana,lafayette / west lafayette,
485,Trump't music video,2016-11-26 02:23,Indiana,lafayette / west lafayette,
486,Openings for Winter Break $25/day,2016-12-19 10:52,Indiana,lafayette / west lafayette,
487,Any Bloomington area Anti-fa groups around?,2016-12-05 12:04,Indiana,lafayette / west lafayette,
